run,model,test_days,pred,acc,test_n,test_pos_n,test_neg_n,test_pos_frac,test_neg_frac,train_n,train_start,train_end,test_start,test_end,train_years,horizon_days,n_features,feature_set,horizon
58,random_forest,1,0.25,0.0,1,1,0,1.0,0.0,980,2021-11-24,2025-10-21,2025-10-24,2025-10-24,4,2,48,ma,2
59,xgboost,1,0.05,0.0,1,1,0,1.0,0.0,980,2021-11-23,2025-10-20,2025-10-23,2025-10-23,4,2,48,ma,2
59,random_forest,1,0.3,0.0,1,1,0,1.0,0.0,980,2021-11-23,2025-10-20,2025-10-23,2025-10-23,4,2,48,ma,2
60,xgboost,1,1.0,1.0,1,1,0,1.0,0.0,980,2021-11-22,2025-10-17,2025-10-22,2025-10-22,4,2,48,ma,2
60,random_forest,1,0.65,1.0,1,1,0,1.0,0.0,980,2021-11-22,2025-10-17,2025-10-22,2025-10-22,4,2,48,ma,2
61,xgboost,1,0.9,0.0,1,0,1,0.0,1.0,980,2021-11-19,2025-10-16,2025-10-21,2025-10-21,4,2,48,ma,2
61,random_forest,1,0.45,1.0,1,0,1,0.0,1.0,980,2021-11-19,2025-10-16,2025-10-21,2025-10-21,4,2,48,ma,2
62,xgboost,1,0.7,0.0,1,0,1,0.0,1.0,980,2021-11-18,2025-10-15,2025-10-20,2025-10-20,4,2,48,ma,2
62,random_forest,1,0.5,1.0,1,0,1,0.0,1.0,980,2021-11-18,2025-10-15,2025-10-20,2025-10-20,4,2,48,ma,2
63,xgboost,1,0.95,1.0,1,1,0,1.0,0.0,980,2021-11-17,2025-10-14,2025-10-17,2025-10-17,4,2,48,ma,2
63,random_forest,1,0.65,1.0,1,1,0,1.0,0.0,980,2021-11-17,2025-10-14,2025-10-17,2025-10-17,4,2,48,ma,2
64,xgboost,1,0.95,1.0,1,1,0,1.0,0.0,980,2021-11-16,2025-10-13,2025-10-16,2025-10-16,4,2,48,ma,2
64,random_forest,1,0.65,1.0,1,1,0,1.0,0.0,980,2021-11-16,2025-10-13,2025-10-16,2025-10-16,4,2,48,ma,2
65,xgboost,1,0.95,1.0,1,1,0,1.0,0.0,980,2021-11-15,2025-10-10,2025-10-15,2025-10-15,4,2,48,ma,2
65,random_forest,1,0.6,1.0,1,1,0,1.0,0.0,980,2021-11-15,2025-10-10,2025-10-15,2025-10-15,4,2,48,ma,2
66,xgboost,1,0.95,1.0,1,1,0,1.0,0.0,980,2021-11-12,2025-10-09,2025-10-14,2025-10-14,4,2,48,ma,2
66,random_forest,1,0.55,1.0,1,1,0,1.0,0.0,980,2021-11-12,2025-10-09,2025-10-14,2025-10-14,4,2,48,ma,2
67,xgboost,1,0.9,1.0,1,1,0,1.0,0.0,980,2021-11-11,2025-10-08,2025-10-13,2025-10-13,4,2,48,ma,2
67,random_forest,1,0.6,1.0,1,1,0,1.0,0.0,980,2021-11-11,2025-10-08,2025-10-13,2025-10-13,4,2,48,ma,2
68,xgboost,1,0.85,1.0,1,1,0,1.0,0.0,980,2021-11-10,2025-10-07,2025-10-10,2025-10-10,4,2,48,ma,2
68,random_forest,1,0.6,1.0,1,1,0,1.0,0.0,980,2021-11-10,2025-10-07,2025-10-10,2025-10-10,4,2,48,ma,2
69,xgboost,1,0.85,0.0,1,0,1,0.0,1.0,980,2021-11-09,2025-10-06,2025-10-09,2025-10-09,4,2,48,ma,2
69,random_forest,1,0.65,0.0,1,0,1,0.0,1.0,980,2021-11-09,2025-10-06,2025-10-09,2025-10-09,4,2,48,ma,2
70,xgboost,1,0.35,1.0,1,0,1,0.0,1.0,980,2021-11-08,2025-10-03,2025-10-08,2025-10-08,4,2,48,ma,2
70,random_forest,1,0.6,0.0,1,0,1,0.0,1.0,980,2021-11-08,2025-10-03,2025-10-08,2025-10-08,4,2,48,ma,2
71,xgboost,1,0.1,0.0,1,1,0,1.0,0.0,980,2021-11-05,2025-10-02,2025-10-07,2025-10-07,4,2,48,ma,2
71,random_forest,1,0.6,1.0,1,1,0,1.0,0.0,980,2021-11-05,2025-10-02,2025-10-07,2025-10-07,4,2,48,ma,2
