,r,pair,rank_score,weighted_precision,total_count,pos_count_ts,neg_count_ts,pos_acc_ts,neg_acc_ts,ks_ts,bal_accuracy,f1_ts,accuracy_ts,best_n_estimators,indicator_1,indicator_2
12,5,QQQ_SMA_200_r5 + ADL,0.36130030490918125,0.61,500,486,14,0.6049382716049383,0.7857142857142857,0.04738684049028877,0.6953262786596119,0.7509578544061302,0.61,10,QQQ_SMA_200_r5,ADL
13,5,100_SMA_200 + 10_EMA_50,0.3608709606945903,0.5984251968503937,254,160,94,0.63125,0.5425531914893617,0.29419191919191917,0.5869015957446808,0.6644736842105262,0.5984251968503937,58,100_SMA_200,10_EMA_50
14,5,50_ESMA_100 + RSI_21,0.36055611189488235,0.6513761467889908,218,134,84,0.7313432835820896,0.5238095238095238,0.2634057971014493,0.6275764036958067,0.7205882352941175,0.6513761467889908,59,50_ESMA_100,RSI_21
15,5,Rel_Min_60 + 25_EMA_100,0.35917843636009533,0.6649214659685864,191,117,74,0.7008547008547008,0.6081081081081081,0.3207207207207207,0.6544814044814045,0.7192982456140351,0.6649214659685864,53,Rel_Min_60,25_EMA_100
16,5,10_ESMA_200 + Vol_Ratio_25,0.3591359009561103,0.6147540983606558,244,147,97,0.673469387755102,0.5257731958762887,0.2089864158829676,0.5996212918156953,0.678082191780822,0.6147540983606558,44,10_ESMA_200,Vol_Ratio_25
17,5,QQQ_SMA_50 + Median Volume,0.35878192108887974,0.6193771626297578,289,199,90,0.6381909547738693,0.5777777777777777,0.19105571847507333,0.6079843662758235,0.6978021978021978,0.6193771626297578,88,QQQ_SMA_50,Median Volume
18,5,QQQ_SMA_200 + ADL,0.35696020119144184,0.608,500,481,19,0.604989604989605,0.6842105263157895,0.14773349256107876,0.6446000656526972,0.7480719794344473,0.608,8,QQQ_SMA_200,ADL
19,5,10_ESMA_200 + Williams_%R_14,0.3557687318395433,0.6240310077519381,258,167,91,0.6826347305389222,0.5164835164835165,0.21620253164556963,0.5995591235112194,0.7015384615384616,0.624031007751938,55,10_ESMA_200,Williams_%R_14
20,10,Max_120_Rows_Since + Median Volume,0.49328893287796755,0.6607142857142857,392,257,135,0.7509727626459144,0.4888888888888889,0.3368761009982384,0.6199308257674017,0.7437379576107899,0.6607142857142857,63,Max_120_Rows_Since,Median Volume
21,10,50_EMA_200 + Signal_Line,0.48754191212628895,0.6686046511627907,344,214,130,0.7336448598130841,0.5615384615384615,0.3728971962616822,0.6475916606757728,0.7336448598130842,0.6686046511627907,63,50_EMA_200,Signal_Line
22,10,num_days_100 + Median Volume,0.4673444386369619,0.6722222222222223,360,198,162,0.7878787878787878,0.5308641975308642,0.35964439655172414,0.659371492704826,0.7255813953488373,0.6722222222222223,85,num_days_100,Median Volume
23,10,25_ESMA_50 + Median Volume,0.45418400127426306,0.6637426900584795,342,225,117,0.7244444444444444,0.5470085470085471,0.2757936507936508,0.6357264957264958,0.7392290249433106,0.6637426900584795,102,25_ESMA_50,Median Volume
24,10,QQQ_SMA_100 + Median Volume,0.451834933614786,0.6448863636363636,352,205,147,0.7365853658536585,0.5170068027210885,0.31614691614691615,0.6267960842873734,0.7072599531615925,0.6448863636363636,66,QQQ_SMA_100,Median Volume
25,10,25_SMA_50 + Median Volume,0.4512879959395912,0.6256830601092896,366,223,143,0.7309417040358744,0.46153846153846156,0.2771825396825397,0.596240082787168,0.7041036717062634,0.6256830601092896,66,25_SMA_50,Median Volume
26,10,50_ESMA_100 + Vol_Ratio_100_MA25,0.44473895893747073,0.6912280701754386,285,171,114,0.7953216374269005,0.5350877192982456,0.3814484126984127,0.6652046783625731,0.7555555555555554,0.6912280701754386,85,50_ESMA_100,Vol_Ratio_100_MA25
27,10,Median Volume + Regime_Category,0.44062148062787815,0.6655737704918033,305,178,127,0.7415730337078652,0.5590551181102362,0.3777050372795054,0.6503140759090507,0.7213114754098361,0.6655737704918033,54,Median Volume,Regime_Category
28,10,Price_Vol_Ratio_5 + Median Volume,0.4397020084691967,0.6556291390728477,302,190,112,0.7368421052631579,0.5178571428571429,0.32646048109965636,0.6273496240601504,0.7291666666666666,0.6556291390728477,66,Price_Vol_Ratio_5,Median Volume
29,10,QQQ_SMA_100_r5 + Median Volume,0.43864971258412105,0.6480446927374302,358,191,167,0.7696335078534031,0.5089820359281437,0.3182018211976575,0.6393077718907734,0.7000000000000001,0.6480446927374302,44,QQQ_SMA_100_r5,Median Volume
30,10,QQQ_EMA_50 + Median Volume,0.43216595640368866,0.630057803468208,346,202,144,0.7425742574257426,0.4722222222222222,0.2827433628318584,0.6073982398239823,0.7009345794392523,0.630057803468208,108,QQQ_EMA_50,Median Volume
31,10,10_EMA_50 + Median Volume,0.4298647452482849,0.6211340206185567,388,203,185,0.7881773399014779,0.43783783783783786,0.26307429130009774,0.6130075888696579,0.6852248394004283,0.6211340206185567,85,10_EMA_50,Median Volume
32,10,Price_Vol_Ratio_25 + Median Volume,0.42203118402937667,0.649546827794562,331,177,154,0.7853107344632768,0.4935064935064935,0.3269868218934433,0.6394086139848851,0.7055837563451776,0.649546827794562,60,Price_Vol_Ratio_25,Median Volume
33,10,Rel_Max_30 + Median Volume,0.421552591239646,0.6197183098591549,355,202,153,0.7475247524752475,0.45098039215686275,0.25159574468085105,0.5992525723160551,0.6910755148741418,0.6197183098591549,84,Rel_Max_30,Median Volume
34,10,100_EMA_200 + MACD,0.416547905771592,0.635483870967742,310,210,100,0.6952380952380952,0.51,0.36789297658862874,0.6026190476190476,0.7209876543209875,0.635483870967742,82,100_EMA_200,MACD
35,10,100_EMA_200 + Signal_Line,0.41343660006197014,0.6829268292682927,287,147,140,0.8707482993197279,0.4857142857142857,0.42160919540229885,0.6782312925170068,0.7377521613832853,0.6829268292682927,57,100_EMA_200,Signal_Line
36,10,Vol_Ratio_50 + ATR_21_MA50,0.40576585383382385,0.6381578947368421,304,173,131,0.7341040462427746,0.5114503816793893,0.2961126812769309,0.6227772139610819,0.6978021978021979,0.6381578947368421,84,Vol_Ratio_50,ATR_21_MA50
37,10,ATR_14 + Price_Vol_Ratio_10,0.4022171887530591,0.6112600536193029,373,260,113,0.6730769230769231,0.4690265486725664,0.15772432932469935,0.5710517358747448,0.7070707070707072,0.6112600536193029,25,ATR_14,Price_Vol_Ratio_10
38,10,Zscore_50 + Median Volume,0.4021704112318174,0.6411149825783972,287,186,101,0.7258064516129032,0.48514851485148514,0.27754010695187165,0.6054774832321942,0.7238605898123325,0.6411149825783972,57,Zscore_50,Median Volume
39,10,10_ESMA_200 + plus_DI,0.40020977986469203,0.6498054474708171,257,161,96,0.7267080745341615,0.5208333333333334,0.30655266936431275,0.6237707039337475,0.7222222222222222,0.6498054474708171,84,10_ESMA_200,plus_DI
40,20,num_days_100 + Vol_Ratio_50,0.5151817272219137,0.7222222222222222,342,223,119,0.820627802690583,0.5378151260504201,0.39455397543632836,0.6792214643705016,0.7939262472885034,0.7222222222222222,85,num_days_100,Vol_Ratio_50
41,20,50_ESMA_100 + RSI_14,0.4995934624639548,0.7560137457044673,291,185,106,0.8972972972972973,0.5094339622641509,0.5104939047379665,0.7033656297807241,0.8238213399503722,0.7560137457044673,132,50_ESMA_100,RSI_14
42,20,50_ESMA_200 + Signal_Line,0.4948060303065566,0.6820652173913043,368,252,116,0.7658730158730159,0.5,0.38785030816903326,0.6329365079365079,0.7673956262425446,0.6820652173913043,23,50_ESMA_200,Signal_Line
43,20,10_SMA_200 + Vol_Ratio_25,0.4799262650014372,0.7465277777777778,288,173,115,0.8670520231213873,0.5652173913043478,0.5013636363636363,0.7161347072128675,0.804289544235925,0.7465277777777778,45,10_SMA_200,Vol_Ratio_25
44,20,25_SMA_200 + RSI_21,0.47409319518240695,0.6822157434402333,343,210,133,0.7857142857142857,0.518796992481203,0.3868459358001992,0.6522556390977443,0.7517084282460136,0.6822157434402333,98,25_SMA_200,RSI_21
45,20,100_ESMA_200 + Signal_Line,0.4568523634890812,0.7104477611940299,335,240,95,0.7916666666666666,0.5052631578947369,0.31120296219753724,0.6484649122807018,0.7966457023060798,0.7104477611940299,22,100_ESMA_200,Signal_Line
46,20,25_SMA_200 + Vol_Ratio_25,0.4470560159429318,0.7022058823529411,272,179,93,0.7653631284916201,0.5806451612903226,0.3465909090909091,0.6730041448909714,0.771830985915493,0.7022058823529411,48,25_SMA_200,Vol_Ratio_25
47,20,50_ESMA_100 + Vol_Ratio_100_MA25,0.44674142854781496,0.7121771217712177,271,175,96,0.8628571428571429,0.4375,0.4199556541019956,0.6501785714285715,0.7947368421052632,0.7121771217712177,110,50_ESMA_100,Vol_Ratio_100_MA25
48,20,Rel_Max_10 + 10_SMA_200,0.4457968188381834,0.6900958466453674,313,183,130,0.8032786885245902,0.5307692307692308,0.3882783882783883,0.6670239596469105,0.751918158567775,0.6900958466453674,42,Rel_Max_10,10_SMA_200
49,20,25_SMA_100 + Zscore_25,0.44462322699690404,0.7410358565737052,251,174,77,0.8563218390804598,0.4805194805194805,0.49377026796381634,0.6684206597999701,0.8209366391184574,0.7410358565737052,64,25_SMA_100,Zscore_25
50,20,Rel_Max_10 + 10_ESMA_200,0.4434367051257363,0.6903225806451613,310,179,131,0.8100558659217877,0.5267175572519084,0.4087050325969701,0.668386711586848,0.7512953367875648,0.6903225806451613,44,Rel_Max_10,10_ESMA_200
51,20,25_SMA_200 + Zscore_50,0.4426899916794037,0.7,290,174,116,0.7701149425287356,0.5948275862068966,0.3844087384053931,0.6824712643678161,0.7549295774647887,0.7,45,25_SMA_200,Zscore_50
