,5029
Zscore_50_MA25,0.8023689080814314
RSI_7_MA50,0.8697560975609755
RSI_14_MA50,1.0066666666666666
RSI_21_MA50,0.9721739130434782
MACD_MA50,0.8141935483870968
Signal_Line_MA50,0.6762790697674419
CCI_14_MA50,0.8711014469192002
Williams_%R_14_MA50,4.062163642588155
BB_Upper_MA50,1.0202014003581161
BB_Lower_MA50,0.9770506251357991
BB_Mid_MA50,1.3495711835334476
OBV_MA50,0.8278138519463094
OBV_ROC5_MA50,0.5737499999999996
OBV_ROC10_MA50,0.4577142857142866
OBV_Z5_MA50,0.41341372912801494
OBV_Z10_MA50,0.680956678700361
CMF_20_MA50,1.886511627906977
ADL_MA50,0.9546543940500657
VROC_5_MA50,-0.08626262626262618
Vol_Spike_10_MA50,1.74895008605852
Vol_Spike_20_MA50,1.6786241610738257
Vol_Spike_40_MA50,1.7344922547332189
Vol_Ratio_10_MA50,0.5827368421052633
Vol_Ratio_25_MA50,9.175855855855854
Vol_Ratio_50_MA50,0.8227925270403147
Vol_Ratio_100_MA50,0.7003205918618989
ATR_7_MA50,0.43930643334538366
ATR_14_MA50,0.7856879315797153
ATR_21_MA50,0.6664574324053342
vol_5_MA50,0.9410903426791278
vol_10_MA50,0.5925785123966942
vol_25_MA50,0.5581083953241234
Price_Vol_Ratio_5_MA50,1.6435547576301615
Price_Vol_Ratio_10_MA50,0.7087948717948717
Price_Vol_Ratio_25_MA50,0.46601902854281413
plus_DI_MA50,0.9308108108108107
minus_DI_MA50,1.44125
ADX_MA50,0.7815384615384615
VIX_MA50,1.172244516421469
VIX_rolling_std_MA50,2.9349999999999996
VIX_1_change_MA50,0.7057142857142862
VIX_5_change_MA50,-1.9775999999999998
Zscore_5_MA50,0.4317314022383147
Zscore_10_MA50,0.721748304446119
Zscore_25_MA50,0.6057348013403542
Zscore_50_MA50,0.688883405305367
RSI_7_EA5,1.00185772177502
RSI_14_EA5,0.9708949199927304
RSI_21_EA5,0.9946160593475227
MACD_EA5,0.9566024395803642
Signal_Line_EA5,0.9864776014035295
CCI_14_EA5,1.0114040075054989
Williams_%R_14_EA5,2.759368097574776
BB_Upper_EA5,1.0014656486556215
BB_Lower_EA5,1.0100937141688988
BB_Mid_EA5,1.4851768897310356
OBV_EA5,0.9057119677048169
OBV_ROC5_EA5,1.1921863127849983
OBV_ROC10_EA5,0.6406343177888805
OBV_Z5_EA5,0.7715253384229862
OBV_Z10_EA5,0.9887635780397501
CMF_20_EA5,1.0999615230990307
ADL_EA5,0.8900447984437333
VROC_5_EA5,0.35684508653148433
Vol_Spike_10_EA5,1.5085669483452047
Vol_Spike_20_EA5,1.4931670850878331
Vol_Spike_40_EA5,1.5046041322431103
Vol_Ratio_10_EA5,0.20000692107384416
Vol_Ratio_25_EA5,-2.5987052654406595
Vol_Ratio_50_EA5,0.9345941367758572
Vol_Ratio_100_EA5,0.9074589705512452
ATR_7_EA5,0.7547892195741623
ATR_14_EA5,1.0612587745727369
ATR_21_EA5,0.9739074207678732
vol_5_EA5,1.0887404079438523
vol_10_EA5,0.8262693936390281
vol_25_EA5,0.9957243946468827
Price_Vol_Ratio_5_EA5,1.2529634168111936
Price_Vol_Ratio_10_EA5,0.782189513700921
Price_Vol_Ratio_25_EA5,0.8941433331964417
plus_DI_EA5,0.9667562624658536
