,r,class_balance,flag,indicator,auc_rs,auc_ts,log_loss_rs,log_loss_ts,f1_rs,f1_ts,accuracy_rs,accuracy_ts,pos_acc_rs,pos_acc_ts,pos_count_rs,neg_acc_rs,neg_acc_ts,pos_count_ts,neg_count_rs,neg_count_ts,coef_rs,coef_ts,ks_rs,ks_ts
2992,30,Y,no_signal,Zscore_50_EA25,0.5144653781471642,0.5146653249850925,0.6900430040304042,0.6993542196091942,0.6450916936353829,0.5318761384335153,0.5430555555555555,0.486,0.6108273748723186,0.42441860465116277,979,0.39913232104121477,0.6217948717948718,344,461,156,3.649859740168799e-05,0.0007192092826430274,0.049940286139072365,0.06678592725104353
2993,45,Y,no_signal,Zscore_50_EA25,0.5090928237950927,0.5001180265953261,0.6951615282930338,0.6969646182872029,0.6663152345809173,0.5422535211267605,0.5591922005571031,0.48,0.6226600985221675,0.4301675977653631,1015,0.40617577197149646,0.6056338028169014,358,421,142,0.00040571118885424513,0.0017869605049094194,0.05180721481810842,0.10421748367298765
2994,60,Y,keep,Zscore_50_EA25,0.4814657689447442,0.3266228070175438,0.6960579425800052,0.6956769041695584,0.6259459459459461,0.7024128686327078,0.5164220824598184,0.556,0.551954242135367,0.6894736842105263,1049,0.418848167539267,0.13333333333333333,380,382,120,0.0016785499700338604,0.0016958671530558156,0.06538762920557599,0.26666666666666666
2995,90,Y,keep,Zscore_50_EA25,0.5184811228638712,0.3114248853211009,0.6845398118634155,0.6252936259757899,0.5801781737193764,0.8179669030732861,0.469760900140647,0.692,0.46147032772364927,0.7935779816513762,1129,0.5017064846416383,0.0,436,293,64,0.0003349041512409036,-0.002147408395399022,0.07060825823692476,0.3857511467889908
2996,5,Y,no_signal,Zscore_50_EA5,0.5018983705406062,0.4894760412001791,0.6940556995458208,0.6992615539940507,0.5759416767922236,0.5142857142857142,0.5179558011049724,0.49,0.5530921820303384,0.45454545454545453,857,0.467005076142132,0.541871921182266,297,591,203,-0.0057530346568927014,-0.0018249040925140156,0.04563591957937716,0.051367534126154815
2997,10,Y,keep,Zscore_50_EA5,0.5093079121877241,0.44915504968760334,0.6931514444527513,0.7067131996271667,0.5703839122486289,0.5737704918032787,0.5124481327800829,0.48,0.5125958378970427,0.5451713395638629,913,0.5121951219512195,0.36312849162011174,321,533,179,0.0032478009783571773,0.003040774860771926,0.03471844053683607,0.12177378652604466
2998,20,Y,keep,Zscore_50_EA5,0.503801145889771,0.3948272263230802,0.6936048734088671,0.7048931329346237,0.5852507374631268,0.5382059800664452,0.5128205128205128,0.444,0.5226554267650158,0.46418338108882523,949,0.4939271255060729,0.3973509933774834,349,494,151,0.007244456900599436,0.004667265934639698,0.031778603516166605,0.22558302814095144
2999,30,Y,no_signal,Zscore_50_EA5,0.5140200168838449,0.5151870900417412,0.6900772849902059,0.6992618229401635,0.6469321851453175,0.5355191256830601,0.5444444444444444,0.49,0.6138917262512769,0.4273255813953488,979,0.3969631236442516,0.6282051282051282,344,461,156,0.0010822553437125537,0.0015450924464503355,0.0503634901256096,0.06969290399522958
3000,45,Y,no_signal,Zscore_50_EA5,0.5088120005148427,0.5042489574317413,0.6951168944604684,0.6968822995544868,0.6627906976744187,0.543859649122807,0.5557103064066853,0.48,0.6177339901477833,0.4329608938547486,1015,0.40617577197149646,0.5985915492957746,358,421,142,0.0004793712637968926,0.004379818380240328,0.04885154979347788,0.10421748367298765
3001,60,Y,keep,Zscore_50_EA5,0.4895637330990871,0.33298245614035094,0.6962066011685143,0.6982308631830626,0.6291283161884137,0.6971736204576043,0.5213137665967854,0.55,0.553860819828408,0.6815789473684211,1049,0.4319371727748691,0.13333333333333333,380,382,120,0.007365013747832109,0.009006379522287894,0.060364146357288664,0.24736842105263157
3002,90,Y,keep,Zscore_50_EA5,0.519055493248125,0.30905963302752293,0.6844391867837947,0.6251361008538285,0.5793871866295264,0.8151658767772513,0.46905766526019693,0.688,0.46058458813108943,0.7889908256880734,1129,0.5017064846416383,0.0,436,293,64,0.00035598928930563194,-0.0007834638896517097,0.07060825823692476,0.38618119266055045
3003,5,Y,no_signal,Zscore_50_EA50,0.5059833717351088,0.49221276807483705,0.6937405982560712,0.6977077114404455,0.5880952380952381,0.521904761904762,0.5220994475138122,0.498,0.5764294049008168,0.4612794612794613,857,0.4433164128595601,0.5517241379310345,297,591,203,-0.004416126259980991,-0.0023210343986448576,0.045015962897369526,0.051367534126154815
3004,10,Y,keep,Zscore_50_EA50,0.5080975445359812,0.448772167980647,0.693207446916224,0.7067027770777211,0.5693430656934306,0.5728314238952537,0.5103734439834025,0.478,0.5125958378970427,0.5451713395638629,913,0.5065666041275797,0.3575418994413408,321,533,179,0.00014809836537304466,-0.0008517190373815541,0.03454582443709684,0.12241772394228928
3005,20,Y,keep,Zscore_50_EA50,0.49775386833786256,0.39374561187119306,0.694398589274254,0.704623661085626,0.5697258641239571,0.5370675453047776,0.49965349965349964,0.438,0.5036880927291886,0.4670487106017192,949,0.49190283400809715,0.3708609271523179,349,494,151,0.0038162090028138226,0.0014756808119277846,0.030336642449115412,0.21896051158466004
3006,30,Y,no_signal,Zscore_50_EA50,0.5152630401113181,0.5146839594514013,0.6899899954033475,0.6992682555598484,0.6461704422869472,0.5345454545454545,0.5444444444444444,0.488,0.6118488253319714,0.4273255813953488,979,0.40130151843817785,0.6217948717948718,344,461,156,-0.00023544304307191268,0.0004621854051329825,0.0500776612551211,0.06507155635062611
3007,45,Y,no_signal,Zscore_50_EA50,0.5072885342194868,0.5001573687937682,0.6952671627023189,0.6966561916380126,0.6687697160883281,0.5413005272407733,0.5612813370473537,0.478,0.6266009852216748,0.4301675977653631,1015,0.40380047505938244,0.5985915492957746,358,421,142,0.0006536620155893043,0.0013872485280038622,0.04682728198167628,0.10689275316704698
3008,60,Y,keep,Zscore_50_EA50,0.4842532653886274,0.33515350877192984,0.6952774187574513,0.6934010862980156,0.6293103448275862,0.7050938337801609,0.5192173305380853,0.56,0.5567206863679695,0.6921052631578948,1049,0.4162303664921466,0.14166666666666666,380,382,120,-0.00018603377124383523,-0.00027024690287390213,0.062405482159523656,0.2631578947368421
3009,90,Y,keep,Zscore_50_EA50,0.5181244086252293,0.31203411697247707,0.6846320155913019,0.6258069107343276,0.5817575083426029,0.8179669030732861,0.4711673699015471,0.692,0.4632418069087688,0.7935779816513762,1129,0.5017064846416383,0.0,436,293,64,0.0005084841808922262,-0.002358799503767609,0.07060825823692476,0.3903383027522936
3010,5,Y,no_signal,Zscore_50_MA10,0.5038293184227828,0.49018924880993847,0.6939126607960199,0.698849998363118,0.5827814569536424,0.5124282982791588,0.5214088397790055,0.49,0.5647607934655776,0.4511784511784512,857,0.45854483925549916,0.5467980295566502,297,591,203,-0.0033938851263206563,-0.0016167909817056338,0.04785315319050637,0.051367534126154815
3011,10,Y,no_signal,Zscore_50_MA10,0.5081078193038229,0.45046032823404514,0.6933184879907495,0.7069482202035096,0.5663824604141291,0.5737704918032787,0.5076071922544951,0.48,0.5093099671412924,0.5451713395638629,913,0.5046904315196998,0.36312849162011174,321,533,179,0.00114573840817989,0.0003631059138998461,0.03314640105706811,0.11371586696601055
3012,20,Y,keep,Zscore_50_MA10,0.5060408783164038,0.39355585494980927,0.6933511104208279,0.7045229578134637,0.5811051693404634,0.5324459234608985,0.5114345114345115,0.438,0.5152792413066386,0.4584527220630373,949,0.5040485829959515,0.39072847682119205,349,494,151,0.0031822358718434805,0.0023361898201874945,0.035328046142754144,0.21787889713277292
3013,30,Y,no_signal,Zscore_50_MA10,0.5140421741606269,0.5160442754919499,0.6900590797485817,0.6997150232667068,0.6462035541195478,0.5328467153284672,0.54375,0.488,0.6128702757916241,0.42441860465116277,979,0.3969631236442516,0.6282051282051282,344,461,156,0.0005440147738784141,0.0014086841589704253,0.05022611500956087,0.06969290399522958
3014,45,Y,no_signal,Zscore_50_MA10,0.5081193030902262,0.5022425053111969,0.6951713923884383,0.6969516570117097,0.6638522427440633,0.5403508771929825,0.5564066852367688,0.476,0.6197044334975369,0.4301675977653631,1015,0.40380047505938244,0.5915492957746479,358,421,142,-9.06118627514295e-05,0.0021689806963751134,0.043115734294373,0.10142418758360217
3015,60,Y,keep,Zscore_50_MA10,0.48786677913145904,0.33346491228070174,0.6969096953145558,0.698734795089427,0.6280454791553871,0.6989247311827957,0.519916142557652,0.552,0.5529075309818875,0.6842105263157895,1049,0.4293193717277487,0.13333333333333333,380,382,120,0.00497828398575596,0.005034651139261395,0.06101547721839298,0.24912280701754386
3016,90,Y,keep,Zscore_50_MA10,0.5185959969407219,0.3100630733944954,0.6845318864630113,0.6250603803680197,0.5809682804674459,0.8151658767772513,0.4704641350210971,0.688,0.46235606731620904,0.7889908256880734,1129,0.5017064846416383,0.0,436,293,64,0.0004901505667229729,-0.0011533644285186145,0.07060825823692476,0.3838876146788991
