,r,class_balance,flag,indicator,auc_rs,auc_ts,log_loss_rs,log_loss_ts,coef_rs,coef_ts,ks_rs,ks_ts
2379,90,N,no_signal,RSI_7_MA5,0.5012651263463695,0.46597262041284404,0.5131786949207626,0.4217573185659747,0.07392234318124244,-0.02008917457112621,0.06015471724350584,0.12844036697247707
2380,5,N,no_signal,RSI_7_MA50,0.47996098616548893,0.4780149607735814,0.6796039845034773,0.6753944900076307,-0.057115495626133744,-0.01958062305075038,0.06101242480063654,0.08757525998905309
2381,10,N,no_signal,RSI_7_MA50,0.5204252109923577,0.49026262204354404,0.6571843980197671,0.6519805145880211,-0.0421655505065161,-0.04517618724634965,0.051643038125553556,0.06817034755216764
2382,20,N,no_signal,RSI_7_MA50,0.48051752750604726,0.5443556803734416,0.6428163362437321,0.6160341059049801,-0.02093524335214308,-0.009054762705965181,0.04608729410459764,0.14975616235602193
2383,30,N,keep,RSI_7_MA50,0.5093248899337276,0.42521988670244476,0.6270545005198258,0.6210874044662996,-0.010943023652653408,0.0010147776641534646,0.0682133923012326,0.15011926058437686
2384,45,N,keep,RSI_7_MA50,0.49207376291494564,0.569871744433079,0.6047777072181768,0.5964945996849399,-0.017529324964629802,-0.01761103732362157,0.043799070942981175,0.1592572192934141
2385,60,N,no_signal,RSI_7_MA50,0.5038144031463523,0.4602192982456141,0.5802710265006462,0.5534558773000579,-0.004126116551226591,-0.0036087117430864575,0.04627443738489412,0.13815789473684212
2386,90,N,no_signal,RSI_7_MA50,0.5071675377950828,0.5322176032110092,0.5152090773975856,0.4216060632787496,0.07929970102813261,0.016035882987436283,0.04985534935322872,0.15438646788990826
2387,5,N,no_signal,RSI_7_slope10,0.4810439359746647,0.5075633179081456,0.6769584238600967,0.6753770002669419,0.008451618484863638,0.0005822367953048588,0.053306402730968414,0.06833524074903385
2388,10,N,no_signal,RSI_7_slope10,0.49756077011439925,0.47380741050140096,0.6583466544930224,0.6528156542127188,-0.003461650520875463,0.0011258218135974426,0.0352917725823985,0.09652099758088376
2389,20,N,no_signal,RSI_7_slope10,0.48243303200044374,0.48291238922939705,0.6435758447904799,0.616470358888118,0.011922757321431908,0.0049063202372737905,0.058011202928290165,0.13260213666293477
2390,30,N,no_signal,RSI_7_slope10,0.502211296222849,0.49354315742397137,0.627498157663797,0.6222679301266503,-0.01542751430687523,-0.013801338210318636,0.029438157932637446,0.06559332140727489
2391,45,N,no_signal,RSI_7_slope10,0.4750313000947779,0.4600676685813203,0.605199348151013,0.598405655294155,0.0030165775668363716,-0.008961301247011945,0.06698571311561728,0.10044063262255094
2392,60,N,keep,RSI_7_slope10,0.5020001597133146,0.5665899122807017,0.5809066522322377,0.5516977523958719,-0.021229202508742114,-0.011122675733795339,0.03558612290937767,0.15043859649122807
2393,90,N,no_signal,RSI_7_slope10,0.5083389510787583,0.5175064506880733,0.5114264580197229,0.421708916352749,-0.0006008505242869115,-0.00224078158707979,0.036022092098779615,0.10349770642201835
2394,5,N,keep,RSI_7_slope25,0.471341811339679,0.39289446185997906,0.6777071976473439,0.680333391903424,0.03579847626072255,0.0371873936210363,0.068990911908894,0.201506029092236
