,r,class_balance,flag,indicator,auc_rs,auc_ts,log_loss_rs,log_loss_ts,coef_rs,coef_ts,ks_rs,ks_ts
4239,45,N,keep,minus_DI_slope10,0.45804851222166315,0.42063695019277675,0.6055438738604918,0.6000008800999097,-0.021227349210531078,0.06312389673571672,0.0881480874764518,0.18404280431190495
4240,60,N,no_signal,minus_DI_slope10,0.5012826975578836,0.5388048245614034,0.5818958810398352,0.5519968457098763,0.11794115885886927,0.05936249120744923,0.03157332588004532,0.10482456140350878
4241,90,N,no_signal,minus_DI_slope10,0.4987378966556528,0.5167717889908257,0.5114772091405045,0.4216919718253306,0.025606145714013737,0.016864530852193565,0.057479360453692147,0.14277522935779816
4242,5,N,no_signal,minus_DI_slope25,0.49288530603944425,0.4608813919158746,0.677687053105107,0.6794619732717244,-0.24317539631302454,-0.22355506551460566,0.05031718484383607,0.10134182547975651
4243,10,N,no_signal,minus_DI_slope25,0.5353421189448224,0.46177274230320753,0.6557900601371369,0.6611197940074445,-0.4280745281524306,-0.48608942004132377,0.06952318912354176,0.0985920395412381
4244,20,N,no_signal,minus_DI_slope25,0.46786623891332446,0.4547429742499858,0.643242669470078,0.6164001748227349,-0.09591881456118234,0.00473628266430211,0.10004991403693639,0.15357027647583446
4245,30,N,keep,minus_DI_slope25,0.47069035427269845,0.41056387895050683,0.6277285027148118,0.6210709351460979,-0.13395186083583518,0.0016954368002519667,0.09017568504760491,0.19841979725700656
4246,45,N,no_signal,minus_DI_slope25,0.4525888396148041,0.4373377134314265,0.6058601105602448,0.5976648368355614,-0.0928716973428645,0.060849052001366956,0.12332120332775587,0.14737587536391533
4247,60,N,no_signal,minus_DI_slope25,0.47534425705857986,0.51625,0.5806513124707203,0.5532075732632792,0.055825190410615844,-0.02789678672436667,0.07510269067024691,0.16271929824561404
4248,90,N,no_signal,minus_DI_slope25,0.5310250697557717,0.4912378153669725,0.5103537601138304,0.4222808539095395,0.3914984674350743,0.3896690978351698,0.0621378065701926,0.20814220183486237
4249,5,N,no_signal,minus_DI_slope5,0.477558160426625,0.523577316680765,0.6764834253926336,0.675101238004297,-0.004576256512334607,0.008740421722218311,0.05994823164266803,0.08508732646663682
4250,10,N,no_signal,minus_DI_slope5,0.5172081811811462,0.47275448580727125,0.657967052611209,0.6532288168271657,-0.017043175954112068,-0.029452153378851917,0.043918467662223175,0.09909674724586227
4251,20,N,no_signal,minus_DI_slope5,0.5019347022009104,0.4727509060892996,0.6429994160763918,0.6175006084227189,-0.04256846426667805,-0.039483655812970475,0.05437857024014198,0.08740203798933566
4252,30,N,no_signal,minus_DI_slope5,0.5152730108858701,0.500549716756112,0.6265316426059369,0.6218185342024939,0.04865439186040776,0.053994083308984135,0.07128882231858176,0.07245080500894455
4253,45,N,no_signal,minus_DI_slope5,0.5238734891122474,0.48768589188763867,0.6048343327356781,0.5982096369162807,0.007758724860835465,0.03126856333470858,0.06436703602728666,0.08057282240931624
4254,60,N,no_signal,minus_DI_slope5,0.5260694553276868,0.5248464912280701,0.5798371269572166,0.5528459319837022,0.016119943176251313,0.027719724638340323,0.05135032616453466,0.06578947368421052
