,r,class_balance,flag,indicator,Weighted_Accuracy,Balanced_Accuracy,auc_rs,auc_ts,log_loss_rs,log_loss_ts,f1_rs,f1_ts,accuracy_rs,accuracy_ts,pos_acc_rs,pos_acc_ts,pos_count_rs,neg_acc_rs,neg_acc_ts,pos_count_ts,neg_count_rs,neg_count_ts,ks_rs,ks_ts
2586,30,Y,keep,Vol_Ratio_50_MA50,0.436,0.45,0.6992537429179804,0.44140392069171136,0.6290160315997183,0.9543450869892421,0.6984667802385008,0.5017667844522969,0.63125,0.436,0.6281920326864147,0.4127906976744186,979,0.6377440347071583,0.48717948717948717,344,461,156,0.2975345598124608,0.13640429338103757
2587,45,Y,keep,Vol_Ratio_50_MA50,0.458,0.4154,0.6664615096591507,0.4019592414824141,0.6379296900171872,0.8528563963585937,0.6945514584479912,0.5758998435054773,0.6135097493036211,0.458,0.6216748768472906,0.5139664804469274,1015,0.5938242280285035,0.31690140845070425,358,421,142,0.2407778804862923,0.22590290345424502
2588,60,Y,keep,Vol_Ratio_50_MA50,0.454,0.427,0.6794603686382943,0.41773026315789474,0.6231846012022473,0.8564874446899645,0.7497446373850869,0.5714285714285714,0.6575821104122991,0.454,0.6997140133460439,0.4789473684210526,1049,0.5418848167539267,0.375,380,382,120,0.2678242554614467,0.18026315789473685
2589,90,Y,keep,Vol_Ratio_50_MA50,0.556,0.3921,0.7179327502970099,0.3711654243119266,0.5878166329322311,0.7644916839782651,0.7793472966390648,0.7063492063492064,0.6814345991561181,0.556,0.70859167404783,0.6123853211009175,1129,0.5767918088737202,0.171875,436,293,64,0.334921417062428,0.2670584862385321
2590,5,Y,no_signal,Vol_Spike_10,0.502,0.4943,0.5516202785066546,0.48894528204873033,0.690679562153944,0.7010124719768258,0.6171360095865788,0.5608465608465608,0.5587016574585635,0.502,0.6009334889148191,0.5353535353535354,857,0.49746192893401014,0.45320197044334976,297,591,203,0.10819626170069518,0.06249689008309698
2591,10,Y,no_signal,Vol_Spike_10,0.506,0.4892,0.5471139204609672,0.48558102299030614,0.6886046691929553,0.702170201716976,0.6263672999424295,0.5876460767946577,0.5511756569847857,0.506,0.5958378970427163,0.5482866043613707,913,0.474671669793621,0.4301675977653631,321,533,179,0.08071241130306661,0.06985850780556571
2592,20,Y,keep,Vol_Spike_10,0.576,0.5291,0.5428748778812558,0.5632175183589821,0.6868773660714925,0.6756807979695233,0.6373873873873874,0.6807228915662651,0.5537075537075538,0.576,0.5964172813487882,0.6475644699140402,949,0.4716599190283401,0.4105960264900662,349,494,151,0.09325605900948367,0.13451868156891023
2593,30,Y,keep,Vol_Spike_10,0.588,0.5307,0.5517693693374309,0.563468992248062,0.686892468494727,0.6648489187627334,0.6391402714932127,0.6952662721893491,0.5569444444444445,0.588,0.5771195097037793,0.6831395348837209,979,0.5140997830802603,0.3782051282051282,344,461,156,0.09224074324369237,0.10748360166964818
2594,45,Y,no_signal,Vol_Spike_10,0.556,0.5497,0.5712004025133683,0.534906365567708,0.6754501019454416,0.6936301146907948,0.6622516556291391,0.6453674121405751,0.5738161559888579,0.556,0.5911330049261084,0.5642458100558659,1015,0.5320665083135392,0.5352112676056338,358,421,142,0.12638451727648223,0.10626327799197419
2595,60,Y,no_signal,Vol_Spike_10,0.464,0.4963,0.5849163251962727,0.47258771929824567,0.673222444862093,0.7260423356419134,0.6464646464646465,0.5518394648829431,0.559748427672956,0.464,0.5490943755958055,0.4342105263157895,1049,0.5890052356020943,0.5583333333333333,380,382,120,0.16114574339061385,0.09649122807017543
